商品品类,订单量,销售额,平均评分
agro_industry_and_commerce,7,1109.17,3.2857142857142856
air_conditioning,21,6917.72,4.190476190476191
art,11,1561.3700000000001,3.909090909090909
arts_and_craftmanship,6,345.07,4.833333333333333
audio,46,20400.12,4.0
auto,147,30880.66,4.129251700680272
baby,140,31081.31,4.214285714285714
bed_bath_table,168,25666.29,3.9941176470588236
books_general_interest,13,1015.72,4.461538461538462
books_imported,1,804.96,5.0
books_technical,78,6784.78,4.358974358974359
christmas_supplies,6,671.51,4.0
cine_photo,32,2886.57,4.34375
computers,1,1543.25,1.0
computers_accessories,140,21888.68,4.371428571428571
consoles_games,29,5956.01,4.517241379310345
construction_tools_construction,67,14150.11,4.134328358208955
construction_tools_lights,12,3836.3300000000004,4.583333333333333
construction_tools_safety,26,3551.93,4.346153846153846
cool_stuff,40,4464.44,4.45
costruction_tools_garden,6,849.05,5.0
costruction_tools_tools,11,1049.4,4.363636363636363
drinks,6,1387.82,4.833333333333333
dvds_blu_ray,5,503.56,4.2
electronics,118,14247.23,4.186440677966102
fashion_bags_accessories,14,1492.0900000000001,4.214285714285714
fixed_telephony,13,2751.15,4.153846153846154
food,15,1372.06,4.133333333333334
food_drink,16,1115.69,4.6875
furniture_bedroom,9,2053.37,3.7777777777777777
furniture_decor,80,9290.38,4.3375
furniture_living_room,20,5325.35,4.3
garden_tools,64,11978.69,4.0
health_beauty,803,124311.25,4.280199252801992
home_appliances,32,5296.98,4.53125
home_appliances_2,13,6843.9,3.769230769230769
home_construction,12,2568.85,3.5833333333333335
housewares,534,79844.99,4.273408239700374
industry_commerce_and_business,1,121.24,5.0
kitchen_dining_laundry_garden_furniture,5,1735.6100000000001,2.6
luggage_accessories,30,4081.96,4.633333333333334
market_place,2,353.0,4.5
music,5,1064.72,4.0
musical_instruments,9,2449.92,3.5555555555555554
office_furniture,11,2609.34,3.272727272727273
party_supplies,7,658.4200000000001,3.7142857142857144
pc_gamer,3,945.43,3.3333333333333335
perfumery,84,14001.6,4.357142857142857
pet_shop,254,41147.03,4.322834645669292
portateis_cozinha_e_preparadores_de_alimentos,9,3408.42,3.4444444444444446
signaling_and_security,16,4440.610000000001,4.5
small_appliances,55,20450.47,4.418181818181818
small_appliances_home_oven_and_coffee,31,27467.47,4.580645161290323
sports_leisure,299,37467.63,4.332225913621262
stationery,123,17412.13,4.373983739837398
telephony,77,26993.85,3.831168831168831
toys,119,12598.17,4.201680672268908
watches_gifts,581,113473.53,4.044750430292599
